Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
Allure,,,All,,,,,,,,,2,,,,16,,,2,,,,,,,,,,,,5,,,,,16,,,,42,2,,,,,56,,56,,,9,89,2,,,100,
Allure,,,Director and Above,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,0,,,,,,,,0,
Anastasia,,,All,,,,,,,,,,9,,,6,,,,,,,,,41,,,,,,,,,,,,,,,,4,,,5,,35,,35,,,,73,,,,73,
Anastasia,,,Leadership,,,,,,,,,,15,,,5,,,,,,,,,26,,,,,,,,,,,,,,,,3,,,4,,46,,46,,,,71,,,,71,
Beauty Bakerie Cosmetics,,,Board,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Beauty Bakerie Cosmetics,,,Executive,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,,,,0,
Beauty Bakerie Cosmetics,,,Owner,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,100,,,,100,
Beauty Counter,,,Corporate Team,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,63,,63,235,,,,,,,0,
Beauty Counter,,,Director or Above,,,,,,12,,,,,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,4,,75,,75,,,,,,,,0,
Beauty Counter,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,58,,58,7,,14.3,85.7,,,,100,
Beautyblender,,,Corporate,,,,,,,,,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,76,,,,76,
Beautyblender,,,Leadership,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Beautyblender,,,Owner,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Beautylish & Good Molecules,,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,40,,40,5,,,,,,,0,
Beautylish & Good Molecules,,,Company,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,64.4,,,,,10.2,,,,,17,,17,,,27,72,,,1,100,
Beautylish & Good Molecules,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,20,,20,5,,,,,,,0,
